

====================================================
Starting ETL.Sp_FPDSdelta_5_FixCodeNameMismatch
Start Time: 2025-12-22 19:50:12
Total record to process: 2842885
====================================================
sam_exception









recipient_duns	recipient_uei	recipient_parent_duns	recipient_parent_uei	contract_transaction_unique_key



























productorservicecode	product_or_service_code_description	minofsignedyear	maxofsignedyear	minoflast_modified_year	maxoflast_modified_year	PlatformPortfolio	ProductServiceOrRnDarea	RnD_budgetActivity
AB24	COMMUNITY & REGIONAL DEVELOPMENT R&D SVCS; AREA & REGIONAL DEVELOPMENT; R&D ADMINISTRATIVE EXPENSES	2022	2022	2022	2022	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AB25	R&D-FIRE PREVENT & CONT-OPSY DEV	2004	2009	2004	2010	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AB25	R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (OPERATIONAL SYSTEMS DEVELOPMENT)	2020	2020	2021	2021	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AB25	COMMUNITY & REGIONAL DEVELOPMENT R&D SVCS; AREA & REGIONAL DEVELOPMENT; R&D FACILITIES & MAJ EQUIP	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AC13	DEFENSE AIRCRAFT (ADVANCED)	2001	2009	2001	2022	Aircraft	Advanced Development	Advanced Development
AC13	R&D- DEFENSE SYSTEM: AIRCRAFT (ADVANCED DEVELOPMENT)	2020	2020	2020	2022	Aircraft	Advanced Development	Advanced Development
AC13	NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; EXPERIMENTAL DEVELOPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AC14	DEFENSE AIRCRAFT (ENGINEERING)	2001	2009	2004	2022	Aircraft	Engineering Development	Engineering Development
AC14	R&D- DEFENSE SYSTEM: AIRCRAFT (ENGINEERING DEVELOPMENT)	2020	2020	2020	2022	Aircraft	Engineering Development	Engineering Development
AC14	NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; R&D ADMINISTRATIVE EXPENSES	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AC15	DEFENSE AIRCRAFT (OPERATIONAL)	2001	2009	2001	2022	Aircraft	Operational Systems Development	Operational Systems Development
AC15	R&D- DEFENSE SYSTEM: AIRCRAFT (OPERATIONAL SYSTEMS DEVELOPMENT)	2020	2020	2020	2022	Aircraft	Operational Systems Development	Operational Systems Development
AC15	NATIONAL DEFENSE R&D SVCS; DEPARTMENT OF DEFENSE - MILITARY; R&D FACILITIES & MAJ EQUIP	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AC23	R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ADVANCED DEVELOPMENT)	2020	2020	2020	2022	Space Systems	Advanced Development	Advanced Development
AC23	R&D-MISSILE & SPACE SYS-ADV DEV	2001	2009	2005	2022	Space Systems	Advanced Development	Advanced Development
AC23	NATIONAL DEFENSE R&D SERVICES; ATOMIC ENERGY DEFENSE ACTIVITIES; EXPERIMENTAL DEVELOPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AC24	R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ENGINEERING DEVELOPMENT)	2020	2020	2020	2022	Space Systems	Engineering Development	Engineering Development
AC24	R&D-MISSILE & SPACE SYS-ENG DEV	2001	2009	2004	2022	Space Systems	Engineering Development	Engineering Development
AC24	NATIONAL DEFENSE R&D SERVICES; ATOMIC ENERGY DEFENSE ACTIVITIES; R&D ADMINISTRATIVE EXPENSES	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AC25	R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (OPERATIONAL SYSTEMS DEVELOPMENT)	2020	2020	2020	2022	Space Systems	Operational Systems Development	Operational Systems Development
AC25	R&D-MISSILE & SPACE SYS-OPSY DEV	2001	2009	2006	2022	Space Systems	Operational Systems Development	Operational Systems Development
AC25	NATIONAL DEFENSE R&D SVCS; ATOMIC ENERGY DEFENSE ACTIVITIES; R&D FACILITIES & MAJ EQUIP	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AC33	R&D- DEFENSE SYSTEM: SHIPS (ADVANCED DEVELOPMENT)	2020	2020	2020	2022	Ships & Submarines	Advanced Development	Advanced Development
AC33	DEFENSE SHIPS (ADVANCED)	2001	2009	2006	2022	Ships & Submarines	Advanced Development	Advanced Development
AC33	NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AC34	R&D- DEFENSE SYSTEM: SHIPS (ENGINEERING DEVELOPMENT)	2020	2020	2020	2022	Ships & Submarines	Engineering Development	Engineering Development
AC34	DEFENSE SHIPS (ENGINEERING)	2001	2009	2005	2022	Ships & Submarines	Engineering Development	Engineering Development
AC34	NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; R&D ADMINISTRATIVE EXPENSES	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AC35	R&D- DEFENSE SYSTEM: SHIPS (OPERATIONAL SYSTEMS DEVELOPMENT)	2020	2020	2020	2022	Ships & Submarines	Operational Systems Development	Operational Systems Development
AC35	DEFENSE SHIPS (OPERATIONAL)	2001	2009	2005	2022	Ships & Submarines	Operational Systems Development	Operational Systems Development
AC35	NATIONAL DEFENSE R&D SVCS; DEFENSE-RELATED ACTIVITIES; R&D FACILITIES & MAJ EQUIP	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AF13	EDUCATION (ADVANCED)	2001	2009	2003	2022	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AF13	R&D- EDUCATION: EDUCATIONAL (ADVANCED DEVELOPMENT)	2020	2020	2020	2021	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AF13	EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; EDUC SVCS R&D; EXPERIMENTAL DEVELOPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AF14	EDUCATION (ENGINEERING)	2001	2009	2002	2021	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AF14	R&D- EDUCATION: EDUCATIONAL (ENGINEERING DEVELOPMENT)	2020	2020	2020	2020	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AF14	EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; EDUC SVCS R&D; R&D ADMINISTRATIVE EXPENSES	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AF15	EDUCATION (OPERATIONAL)	2001	2009	2001	2022	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AF15	R&D- EDUCATION: EDUCATIONAL (OPERATIONAL SYSTEMS DEVELOPMENT)	2020	2020	2020	2021	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AF15	EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; EDUC SVCS R&D; R&D FACILITIES & MAJ EQUIP	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AG13	COAL (ADVANCED)	2001	2009	2004	2012	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AG13	ENERGY R&D SERVICES; ENERGY SUPPLY; EXPERIMENTAL DEVELOPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AG14	R&D- ENERGY: COAL (ENGINEERING DEVELOPMENT)	2020	2020	2022	2022	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AG14	COAL (ENGINEERING)	2001	2009	2004	2014	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AG14	ENERGY R&D SERVICES; ENERGY SUPPLY; R&D ADMINISTRATIVE EXPENSES	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AG15	COAL (OPERATIONAL)	2001	2007	2004	2015	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AG15	ENERGY R&D SERVICES; ENERGY SUPPLY; EXPENSES FOR R&D FACILITIES AND MAJOR EQUIPMENT	2023	2023	2023	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AG23	GAS (ADVANCED)	2001	2009	2001	2019	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AG23	ENERGY R&D SERVICES; ENERGY CONSERVATION; EXPERIMENTAL DEVELOPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AG25	GAS (OPERATIONAL)	2001	2009	2004	2021	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AG25	ENERGY R&D SERVICES; ENERGY CONSERVATION; EXPENSES FOR R&D FACILITIES AND MAJOR EQUIPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AG33	GEOTHERMAL (ADVANCED)	2006	2007	2019	2021	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AG33	ENERGY R&D SERVICES; EMERGENCY ENERGY PREPAREDNESS; EXPERIMENTAL DEVELOPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AG35	GEOTHERMAL (OPERATIONAL)	2005	2005	2006	2020	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AG35	ENERGY R&D SERVICES; EMERGENCY ENERGY PREPAREDNESS; EXPENSES FOR R&D FACILITIES AND MAJOR EQUIPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AG44	R&D- ENERGY: WIND (ENGINEERING DEVELOPMENT)	2020	2020	2020	2020	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AG44	WIND ENERGY (ENGINEERING)	2003	2009	2004	2020	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AG44	ENERGY R&D SERVICES; ENERGY INFORMATION, POLICY AND REGULATION; R&D ADMINISTRATIVE EXPENSES	2023	2023	2023	2023	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AH13	R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (ADVANCED DEVELOPMENT)	2020	2020	2020	2020	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AH13	R&D-POLLUTION CONT/ABATE-ADV DEV	2001	2009	2001	2019	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AH13	NATURAL RESOURCES AND ENVIRONMENT R&D SERVICES; WATER RESOURCES; EXPERIMENTAL DEVELOPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AH14	R&D-POLLUTION CONT/ABATE-ENG DEV	2002	2009	2002	2020	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AH14	NATURAL RESOURCES AND ENVIRONMENT R&D SERVICES; WATER RESOURCES; R&D ADMINISTRATIVE EXPENSES	2022	2022	2022	2022	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AH15	R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (OPERATIONAL SYSTEMS DEVELOPMENT)	2020	2020	2020	2020	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AH15	R&D-POLLUTION CONT/ABATE-OPSY DEV	2005	2005	2006	2020	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AH15	NATURAL RESOURCES & ENVIRONMENT R&D SVCS; WATER RESOURCES; R&D FACILITIES & MAJ EQUIP	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AH24	AIR POLLUTION (ENGINEERING)	2001	2009	2004	2021	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AH24	NATURAL RESOURCES & ENVIRONMENT R&D SVCS; CONSERVATION & LAND MGMT; R&D ADMINISTRATIVE EXPENSES	2023	2023	2023	2023	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AH34	WATER POLLUTION (ENGINEERING)	2003	2009	2008	2021	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AH34	NATURAL RESOURCES AND ENVIRONMENT R&D SERVICES; RECREATIONAL RESOURCES; R&D ADMINISTRATIVE EXPENSES	2022	2022	2022	2022	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AH35	R&D- ENVIRONMENTAL PROTECTION: WATER POLLUTION (OPERATIONAL SYSTEMS DEVELOPMENT)	2020	2020	2020	2020	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AH35	WATER POLLUTION (OPERATIONAL)	2001	2009	2006	2021	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AH35	NATURAL RESOURCES & ENVIRONMENT R&D SVCS; RECREATIONAL RESOURCES; R&D FACILITIES & MAJ EQUIP	2022	2022	2022	2022	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AH43	NOISE POLLUTION (ADVANCED)	2001	2005	2005	2007	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AH43	NATURAL RESOURCES & ENVIRONMENT R&D SVCS; POLLUTION CONTROL & ABATEMENT; EXPERIMENTAL DEVELOPMENT	2022	2023	2023	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AH44	NOISE POLLUTION (ENGINEERING)	2004	2005	2018	2020	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AH44	NATURAL RESOURCES & ENVIRONMENT R&D SVCS; POLLUTION CONTROL & ABATEMENT; R&D ADMINISTRATIVE EXPENSES	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AH45	NOISE POLLUTION (OPERATIONAL)	2005	2009	2007	2020	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AH45	NATURAL RESOURCES & ENVIRONMENT R&D SVCS; POLLUTION CONTROL & ABATEMENT; R&D FACILITIES & MAJ EQUIP	2023	2023	2023	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AJ13	PHYSICAL SCIENCES (ADVANCED)	2001	2009	2002	2022	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AJ13	R&D- GENERAL SCIENCE/TECHNOLOGY: PHYSICAL SCIENCES (ADVANCED DEVELOPMENT)	2020	2020	2020	2021	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AJ13	GENERAL SCIENCE & TECHNOLOGY R&D SVCS; GENERAL SCIENCE & TECHNOLOGY; EXPERIMENTAL DEVELOPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AJ14	PHYSICAL SCIENCES (ENGINEERING)	2001	2009	2002	2022	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AJ14	R&D- GENERAL SCIENCE/TECHNOLOGY: PHYSICAL SCIENCES (ENGINEERING DEVELOPMENT)	2020	2020	2020	2022	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AJ14	GENERAL SCIENCE & TECHNOLOGY R&D SVCS; GENERAL SCIENCE & TECHNOLOGY; R&D ADMINISTRATIVE EXPENSES	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AJ15	PHYSICAL SCIENCES (OPERATIONAL)	2001	2009	2001	2021	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AJ15	R&D- GENERAL SCIENCE/TECHNOLOGY: PHYSICAL SCIENCES (OPERATIONAL SYSTEMS DEVELOPMENT)	2020	2020	2020	2022	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AJ15	GENERAL SCIENCE & TECHNOLOGY R&D SVCS; GENERAL SCIENCE & TECHNOLOGY; R&D FACILITIES & MAJ EQUIP	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AK14	R&D- HOUSING: HOUSING (ENGINEERING DEVELOPMENT)	2020	2020	2020	2020	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AK14	HOUSING (ENGINEERING)	2004	2008	2008	2020	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AK14	COMMERCE AND HOUSING CREDIT R&D SERVICES; COMMERCE AND HOUSING CREDIT; R&D ADMINISTRATIVE EXPENSES	2022	2022	2022	2022	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AK14	GENERAL SCIENCE & TECHNOLOGY R&D SVCS; GENERAL SCIENCE & TECHNOLOGY; R&D ADMINISTRATIVE EXPENSES	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AM15	R&D-INTERNATIONAL AFFAIRS-OPSY DEV	2003	2006	2004	2019	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AM15	INTERNATIONAL AFFAIRS R&D SVCS; INTERNATIONAL AFFAIRS; R&D FACILITIES & MAJ EQUIP	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AN13	R&D- MEDICAL: BIOMEDICAL (ADVANCED DEVELOPMENT)	2020	2020	2020	2022	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AN13	BIOMEDICAL (ADVANCED)	2001	2009	2002	2022	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AN13	HEALTH R&D SERVICES; HEALTH CARE SERVICES; EXPERIMENTAL DEVELOPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AN14	BIOMEDICAL (ENGINEERING)	2001	2009	2004	2021	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AN14	R&D- MEDICAL: BIOMEDICAL (ENGINEERING DEVELOPMENT)	2020	2020	2020	2021	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AN14	HEALTH R&D SERVICES; HEALTH CARE SERVICES; R&D ADMINISTRATIVE EXPENSES	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AN15	BIOMEDICAL (OPERATIONAL)	2001	2009	2002	2021	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AN15	R&D- MEDICAL: BIOMEDICAL (OPERATIONAL SYSTEMS DEVELOPMENT)	2020	2020	2020	2021	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AN15	HEALTH R&D SERVICES; HEALTH CARE SERVICES; EXPENSES FOR R&D FACILITIES AND MAJOR EQUIPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AN23	DRUGS DEPENDENCY (ADVANCED)	2002	2009	2008	2018	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AN23	R&D- MEDICAL: DRUG DEPENDENCY (ADVANCED DEVELOPMENT)	2020	2020	2020	2020	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AN23	HEALTH R&D SERVICES; HEALTH RESEARCH AND TRAINING; EXPERIMENTAL DEVELOPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AN24	DRUGS DEPENDENCY (ENGINEERING)	2003	2004	2005	2005	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AN24	HEALTH R&D SERVICES; HEALTH RESEARCH AND TRAINING; R&D ADMINISTRATIVE EXPENSES	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AN25	DRUGS DEPENDENCY (OPERATIONAL)	2004	2005	2005	2005	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AN25	R&D- MEDICAL: DRUG DEPENDENCY (OPERATIONAL SYSTEMS DEVELOPMENT)	2020	2020	2021	2021	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AN25	HEALTH R&D SERVICES; HEALTH RESEARCH AND TRAINING; EXPENSES FOR R&D FACILITIES AND MAJOR EQUIPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AN33	ALCOHOL DEPENDENCY (ADVANCED)	2007	2007	2007	2008	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AN33	HEALTH R&D SERVICES; CONSUMER AND OCCUPATIONAL HEALTH AND SAFETY; EXPERIMENTAL DEVELOPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AN34	ALCOHOL DEPENDENCY (ENGINEERING)	2006	2006	2021	2021	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AN34	HEALTH R&D SERVICES; CONSUMER AND OCCUPATIONAL HEALTH AND SAFETY; R&D ADMINISTRATIVE EXPENSES	2022	2022	2022	2022	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AN35	ALCOHOL DEPENDENCY (OPERATIONAL)	2007	2007	2008	2008	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AN35	HEALTH R&D SVCS; CONSUMER & OCCUPATIONAL HEALTH & SAFETY; R&D FACILITIES & MAJ EQUIP	2022	2022	2022	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AN43	R&D- MEDICAL: HEALTH SERVICES (ADVANCED DEVELOPMENT)	2020	2020	2020	2022	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AN43	HEALTH SERVICES (ADVANCED)	2001	2009	2001	2022	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AN43	HEALTH R&D SERVICES; HEALTH CARE - OTHER; EXPERIMENTAL DEVELOPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AN44	R&D- MEDICAL: HEALTH SERVICES (ENGINEERING DEVELOPMENT)	2020	2020	2020	2022	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AN44	HEALTH SERVICES (ENGINEERING)	2004	2009	2005	2020	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AN44	HEALTH R&D SERVICES; HEALTH CARE - OTHER; R&D ADMINISTRATIVE EXPENSES	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AN45	R&D- MEDICAL: HEALTH SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT)	2020	2020	2020	2022	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AN45	HEALTH SERVICES (OPERATIONAL)	2001	2009	2003	2022	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AN45	HEALTH R&D SERVICES; HEALTH CARE - OTHER; EXPENSES FOR R&D FACILITIES AND MAJOR EQUIPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AR13	R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ADVANCED DEVELOPMENT)	2020	2020	2020	2022	Space Systems	Advanced Development	Advanced Development
AR13	R&D-AERO & SPACE TECH-ADV DEV	2001	2009	2001	2021	Space Systems	Advanced Development	Advanced Development
AR13	SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; EXPERIMENTAL DEVELOPMENT	2022	2023	2022	2023	Space Systems	Experimental Development	Experimental Development
AR14	R&D-AERO & SPACE TECH-ENG DEV	2001	2009	2001	2022	Space Systems	Engineering Development	Engineering Development
